City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain Inches (last 3 hrs),Snow Inches (last 3 hrs)
205,Havoysund,NO,2020-01-05 06:39:52,71.0,24.66,24.8,85,100,39.15,light snow,0.0,0.0
206,Adre,TD,2020-01-05 06:39:53,13.47,22.2,55.49,29,5,19.1,clear sky,0.0,0.0
207,Matagami,NG,2020-01-05 06:39:53,9.67,8.4,62.33,34,0,7.16,clear sky,0.0,0.0
208,Maniwaki,CA,2020-01-05 06:39:53,46.38,-75.98,16.72,92,89,5.79,overcast clouds,0.0,0.0
209,Kavaratti,IN,2020-01-05 06:39:53,10.57,72.64,87.8,58,20,4.7,few clouds,0.0,0.0
210,Mar Del Plata,AR,2020-01-05 06:38:19,-46.43,-67.52,58.86,41,87,11.34,overcast clouds,0.0,0.0
211,Kruisfontein,ZA,2020-01-05 06:39:54,-34.0,24.73,69.15,67,68,16.42,broken clouds,0.0,0.0
212,Fare,PF,2020-01-05 06:39:54,-16.7,-151.02,81.41,78,100,9.8,light rain,1.37,0.0
213,Kieta,PG,2020-01-05 06:39:54,-6.22,155.63,85.17,71,100,4.97,moderate rain,4.69,0.0
214,Lakes Entrance,AU,2020-01-05 06:39:54,-37.88,147.99,55.99,77,100,1.99,moderate rain,5.56,0.0
215,Jijiga,ET,2020-01-05 06:39:54,9.35,42.8,69.24,34,71,3.76,broken clouds,0.0,0.0
216,Salta,AR,2020-01-05 06:35:13,-24.79,-65.41,69.8,88,98,2.24,light rain,0.31,0.0
217,Kaitangata,NZ,2020-01-05 06:39:55,-46.28,169.85,57.0,45,47,28.01,scattered clouds,0.0,0.0
218,Karak,JO,2020-01-05 06:39:55,31.18,35.7,42.8,93,75,17.22,drizzle,0.0,0.0
219,Glenwood Springs,US,2020-01-05 06:36:08,39.55,-107.33,19.99,78,1,12.75,clear sky,0.0,0.0
220,Bambanglipuro,ID,2020-01-05 06:39:55,-7.95,110.28,85.06,70,28,12.41,light rain,1.31,0.0
221,Sur,OM,2020-01-05 06:39:56,22.57,59.53,75.6,52,0,13.69,clear sky,0.0,0.0
222,Zaranj,AF,2020-01-05 06:39:56,30.95,61.86,51.8,76,75,6.93,broken clouds,0.0,0.0
223,Awjilah,LY,2020-01-05 06:39:56,29.14,21.3,49.17,82,8,8.12,clear sky,0.0,0.0
224,Tupik,RU,2020-01-05 06:39:56,54.43,119.94,4.86,91,0,1.1,clear sky,0.0,0.0
225,Bambous Virieux,MU,2020-01-05 06:39:56,-20.34,57.76,78.01,94,75,6.93,broken clouds,0.0,0.0
226,Venancio Aires,BR,2020-01-05 06:39:56,-29.61,-52.19,64.99,96,0,0.69,clear sky,0.0,0.0
227,Naro,BF,2020-01-05 06:39:57,11.18,-3.22,58.89,24,49,7.07,scattered clouds,0.0,0.0
228,Manta,RO,2020-01-05 06:39:57,45.1,24.1,31.21,72,91,2.01,overcast clouds,0.0,0.0
229,Pemba,MZ,2020-01-05 06:39:57,-12.97,40.52,80.6,94,75,2.24,broken clouds,0.0,0.0
