City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
221,Acapulco,MX,2020-01-04 22:27:39,16.86,-99.88,86.0,66,40,4.7
222,Simojovel,MX,2020-01-04 22:29:50,17.14,-92.71,54.86,99,100,4.56
223,Hambantota,LK,2020-01-04 22:29:50,6.12,81.12,75.2,100,7,3.36
224,Kholodnyy,RU,2020-01-04 22:29:50,62.72,147.95,-8.01,100,85,1.39
225,Brainerd,US,2020-01-04 22:25:47,46.36,-94.2,24.8,79,90,9.17
226,Aykhal,RU,2020-01-04 22:29:51,65.95,111.51,-20.2,75,15,4.47
227,Necochea,AR,2020-01-04 22:26:03,-38.55,-58.74,75.83,56,3,13.33
228,Kargopol,RU,2020-01-04 22:29:51,61.51,38.95,30.31,95,99,6.85
229,Maketu,NZ,2020-01-04 22:29:51,-37.76,176.45,68.0,64,66,15.99
230,Neryungri,RU,2020-01-04 22:29:52,56.66,124.71,4.55,90,82,5.32
231,Provideniya,RU,2020-01-04 22:29:52,64.42,-173.23,-12.82,78,60,10.63
232,Bethel,US,2020-01-04 22:26:44,60.79,-161.76,-9.4,76,1,8.05
233,Coruripe,BR,2020-01-04 22:29:52,-10.12,-36.18,79.43,80,65,15.19
234,Tarasovskiy,RU,2020-01-04 22:29:52,48.73,40.36,32.02,73,47,9.35
235,Jaguarao,BR,2020-01-04 22:29:52,-32.57,-53.38,70.0,74,36,14.79
236,Yacuiba,AR,2020-01-04 22:29:53,-22.01,-63.68,86.0,66,75,9.31
237,Murgab,TM,2020-01-04 22:29:53,37.5,61.97,39.2,86,90,9.17
238,Lata,IN,2020-01-04 22:29:53,30.78,78.62,-0.81,62,39,9.95
239,Marsabit,KE,2020-01-04 22:29:53,2.34,37.99,77.49,57,69,13.8
240,Codrington,AU,2020-01-04 22:29:54,-28.95,153.24,82.4,57,0,2.24
241,Gat,SN,2020-01-04 22:29:54,14.69,-16.54,77.0,60,30,10.29
242,Yerbogachen,RU,2020-01-04 22:29:54,61.28,108.01,-2.88,94,82,6.31
243,Tymovskoye,RU,2020-01-04 22:29:54,50.85,142.66,0.23,94,99,4.21
244,Fairbanks,US,2020-01-04 22:26:18,64.84,-147.72,-18.99,73,20,3.29
245,Aleksandrov Gay,RU,2020-01-04 22:25:02,50.14,48.57,27.73,83,95,11.7
246,Namibe,AO,2020-01-04 22:29:55,-15.19,12.15,75.63,89,99,10.27
247,Novoagansk,RU,2020-01-04 22:29:55,61.94,76.66,18.3,94,100,14.12
248,Luba,PH,2020-01-04 22:29:55,17.32,120.7,68.83,79,65,4.88
249,Cassia,US,2020-01-04 22:29:55,28.89,-81.47,69.01,82,1,8.05
250,Ponta Delgada,PT,2020-01-04 22:29:56,37.73,-25.67,62.6,93,20,10.29
251,Basco,US,2020-01-04 22:29:56,40.33,-91.2,39.0,74,1,8.05
252,Chifeng,CN,2020-01-04 22:29:56,42.27,118.96,14.9,72,0,4.05
253,Kampong Thum,KH,2020-01-04 22:29:56,12.71,104.89,70.2,65,54,8.19
254,Macia,MZ,2020-01-04 22:29:57,-25.03,33.09,75.81,72,57,3.11
255,Komsomolskiy,RU,2020-01-04 22:29:57,67.55,63.78,25.43,90,78,17.94
256,East London,ZA,2020-01-04 22:29:57,-33.02,27.91,76.12,93,48,11.74
257,Saldanha,PT,2020-01-04 22:25:57,41.42,-6.55,38.01,86,0,4.61
258,Byron Bay,AU,2020-01-04 22:27:41,-28.65,153.62,82.4,61,5,8.05
259,Prainha,BR,2020-01-04 22:29:58,-1.8,-53.48,88.99,54,78,2.66
260,Mar Del Plata,AR,2020-01-04 22:27:36,-46.43,-67.52,64.15,42,17,13.82
261,Geraldton,CA,2020-01-04 22:29:58,49.72,-86.95,15.8,78,90,10.29
262,Maragogi,BR,2020-01-04 22:28:56,-9.01,-35.22,80.29,76,100,14.43
263,Chapais,CA,2020-01-04 22:29:59,49.78,-74.86,8.6,84,90,6.93
264,Morristown,US,2020-01-04 22:29:59,36.21,-83.29,43.0,60,90,10.29
265,Alofi,NU,2020-01-04 22:29:59,-19.06,-169.92,84.2,66,0,10.29
266,Evensk,RU,2020-01-04 22:29:59,61.92,159.24,8.55,50,66,8.12
267,Alyangula,AU,2020-01-04 22:30:00,-13.85,136.42,84.2,83,99,2.24
268,Gornozavodsk,RU,2020-01-04 22:30:00,58.37,58.33,26.1,94,100,11.63
269,Zhigansk,RU,2020-01-04 22:30:00,66.77,123.37,-20.09,94,100,10.76
270,Ravar,IR,2020-01-04 22:30:00,31.27,56.81,44.65,94,100,7.34
271,Huambo,AO,2020-01-04 22:30:01,-12.78,15.73,60.19,98,100,3.87
272,College,US,2020-01-04 22:30:01,64.86,-147.8,-18.99,73,20,2.84
273,Looc,PH,2020-01-04 22:30:01,10.32,123.95,77.0,88,20,10.29
274,Severo-Yeniseyskiy,RU,2020-01-04 22:30:01,60.37,93.04,10.09,87,100,13.62
