City_ID,City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain Inches (last 3 hrs),Snow Inches (last 3 hrs)
147,147,Bathsheba,BB,2020-01-05 06:15:42,13.22,-59.52,77.0,73,40,8.05,scattered clouds,0.0,0.0
148,148,Champerico,MX,2020-01-05 06:15:43,16.38,-93.6,66.2,68,5,10.29,clear sky,0.0,0.0
149,149,Bohodukhiv,UA,2020-01-05 06:15:43,50.16,35.52,32.0,97,75,2.24,mist,0.0,0.0
150,150,Banda Aceh,ID,2020-01-05 06:15:43,5.56,95.32,87.19,56,35,9.04,scattered clouds,0.0,0.0
151,151,Rio Gallegos,AR,2020-01-05 06:15:43,-51.62,-69.22,53.6,66,100,16.11,overcast clouds,0.0,0.0
152,152,Isangel,VU,2020-01-05 06:15:44,-19.55,169.27,86.0,58,75,17.22,broken clouds,0.0,0.0
153,153,Yerbogachen,RU,2020-01-05 06:15:44,61.28,108.01,14.09,90,100,12.28,light snow,0.0,0.69
154,154,Tres Arroyos,AR,2020-01-05 06:15:44,-38.38,-60.28,62.17,92,84,5.59,light rain,1.12,0.0
155,155,Hithadhoo,MV,2020-01-05 06:15:44,-0.6,73.08,84.18,67,62,6.15,broken clouds,0.0,0.0
156,156,Kovylkino,RU,2020-01-05 06:15:45,54.04,43.91,27.73,95,100,7.07,overcast clouds,0.0,0.0
157,157,Ostrovnoy,RU,2020-01-05 06:15:45,68.05,39.51,15.73,85,100,25.3,light snow,0.0,1.13
158,158,Ponta Do Sol,BR,2020-01-05 06:15:45,-20.63,-46.0,66.27,93,84,2.51,light rain,0.25,0.0
159,159,Silver City,US,2020-01-05 06:15:45,32.77,-108.28,35.6,55,1,5.82,clear sky,0.0,0.0
160,160,Cayenne,GF,2020-01-05 06:15:45,4.94,-52.33,75.2,94,20,1.12,few clouds,0.0,0.0
161,161,Carlsbad,CZ,2020-01-05 06:15:46,50.23,12.87,33.01,80,75,12.75,broken clouds,0.0,0.0
162,162,Hualmay,PE,2020-01-05 06:15:46,-11.1,-77.61,67.78,86,100,2.46,overcast clouds,0.0,0.0
163,163,Katsuura,JP,2020-01-05 06:15:46,33.93,134.5,52.0,43,75,16.11,broken clouds,0.0,0.0
164,164,Agadez,NE,2020-01-05 06:15:46,16.97,7.99,50.0,43,0,6.93,clear sky,0.0,0.0
165,165,Sitka,US,2020-01-05 06:15:46,37.17,-99.65,37.0,73,16,3.0,few clouds,0.0,0.0
166,166,Ostersund,SE,2020-01-05 06:14:06,63.18,14.64,28.0,79,76,9.17,broken clouds,0.0,0.0
167,167,Barrow,AR,2020-01-05 06:15:47,-38.31,-60.23,62.46,92,88,6.71,light rain,0.56,0.0
168,168,Asahikawa,JP,2020-01-05 06:15:47,43.76,142.37,21.2,79,75,11.41,light shower snow,0.0,0.0
169,169,Kirakira,SB,2020-01-05 06:15:47,-10.46,161.92,82.9,74,59,8.39,broken clouds,0.0,0.0
170,170,Tiksi,RU,2020-01-05 06:15:48,71.64,128.87,-21.08,88,66,9.24,broken clouds,0.0,0.0
171,171,Maua,KE,2020-01-05 06:15:48,0.23,37.94,75.97,69,82,1.45,broken clouds,0.0,0.0
172,172,Angoche,MZ,2020-01-05 06:15:48,-16.23,39.91,82.08,80,100,3.36,overcast clouds,0.0,0.0
173,173,Sao Filipe,CV,2020-01-05 06:15:48,14.9,-24.5,69.42,75,11,15.88,few clouds,0.0,0.0
174,174,Lompoc,US,2020-01-05 06:11:49,34.64,-120.46,52.0,93,75,12.91,mist,0.0,0.0
175,175,Samarai,PG,2020-01-05 06:15:49,-10.62,150.67,82.89,77,100,4.32,light rain,2.56,0.0
176,176,Barra Patuca,HN,2020-01-05 06:15:49,15.8,-84.28,80.6,82,1,19.08,light rain,0.25,0.0
177,177,Leningradskiy,RU,2020-01-05 06:15:49,69.38,178.42,-10.46,57,0,2.64,clear sky,0.0,0.0
178,178,Batamshinskiy,KZ,2020-01-05 06:15:49,50.56,58.27,24.8,92,90,13.42,overcast clouds,0.0,0.0
179,179,Yulara,AU,2020-01-05 06:15:50,-25.24,130.99,66.2,88,90,12.75,overcast clouds,0.0,0.0
180,180,Torquay,GB,2020-01-05 06:15:50,50.47,-3.52,46.0,94,92,8.23,overcast clouds,0.0,0.0
181,181,San Patricio,PY,2020-01-05 06:15:50,-26.98,-56.83,70.97,68,0,4.65,clear sky,0.0,0.0
182,182,Adrar,DZ,2020-01-05 06:15:50,27.87,-0.29,33.8,43,3,8.05,clear sky,0.0,0.0
183,183,Bredasdorp,ZA,2020-01-05 06:15:51,-34.53,20.04,73.4,56,99,8.05,overcast clouds,0.0,0.0
