City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain Inches (last 3 hrs),Snow Inches (last 3 hrs)
Kutum,SD,2020-01-05 08:43:21,14.2,24.66,63.91,26,0,11.1,clear sky,0.0,0.0
Aden,YE,2020-01-05 08:43:22,12.79,45.03,82.83,55,24,9.75,few clouds,0.0,0.0
Buba,GW,2020-01-05 08:43:22,11.59,-14.99,67.73,16,0,7.72,clear sky,0.0,0.0
Tchollire,CM,2020-01-05 08:43:22,8.4,14.17,79.5,15,0,4.27,clear sky,0.0,0.0
Port Hedland,AU,2020-01-05 08:43:22,-20.31,118.58,93.2,46,40,6.93,scattered clouds,0.0,0.0
Bud,NO,2020-01-05 08:39:05,62.91,6.91,42.8,93,90,9.17,moderate rain,0.0,0.0
Petropavlovka,RU,2020-01-05 08:43:23,50.61,105.32,9.59,85,38,3.98,scattered clouds,0.0,0.0
Phuket,TH,2020-01-05 08:43:23,7.89,98.4,93.2,46,20,11.41,few clouds,0.0,0.0
Santa Maria,BR,2020-01-05 08:42:05,-16.02,-48.01,66.2,100,75,1.12,light rain,0.0,0.0
Coolum Beach,AU,2020-01-05 08:43:23,-26.53,153.09,78.01,79,0,4.36,clear sky,0.0,0.0
Boyolangu,ID,2020-01-05 08:43:23,-8.09,111.9,82.0,80,93,10.96,moderate rain,3.69,0.0
Bathsheba,BB,2020-01-05 08:39:20,13.22,-59.52,75.2,73,20,8.05,few clouds,0.0,0.0
Aksarka,RU,2020-01-05 08:43:24,66.56,67.8,21.58,79,0,22.44,clear sky,0.0,0.0
Vila Do Maio,CV,2020-01-05 08:43:24,15.13,-23.22,69.8,68,22,19.46,dust,0.0,0.0
Panguna,PG,2020-01-05 08:43:24,-6.32,155.48,72.54,95,100,1.25,light rain,1.5,0.0
Chumikan,RU,2020-01-05 08:43:24,54.72,135.31,-7.44,85,8,5.37,clear sky,0.0,0.0
Kovdor,RU,2020-01-05 08:43:24,67.56,30.47,14.63,86,12,11.88,few clouds,0.0,0.0
Ouango,CD,2020-01-05 08:43:25,4.31,22.55,90.3,20,69,4.72,broken clouds,0.0,0.0
Imeni Poliny Osipenko,RU,2020-01-05 08:43:25,52.42,136.49,-15.16,93,0,1.43,clear sky,0.0,0.0
Praya,ID,2020-01-05 08:43:25,-8.71,116.27,87.8,62,75,13.87,broken clouds,0.0,0.0
Mindelo,PT,2020-01-05 08:43:25,41.31,-8.72,44.01,81,0,8.05,clear sky,0.0,0.0
Carutapera,BR,2020-01-05 08:43:25,-1.2,-46.02,79.27,82,99,6.31,light rain,1.56,0.0
Chongwe,ZM,2020-01-05 08:43:26,-15.33,28.68,77.02,70,100,5.64,light rain,2.13,0.0
Quatre Cocos,MU,2020-01-05 08:43:26,-20.21,57.76,82.0,83,75,4.7,broken clouds,0.0,0.0
Lagos,NG,2020-01-05 08:43:26,6.46,3.39,71.6,49,11,11.41,haze,0.0,0.0
Bulgan,MN,2020-01-05 08:43:26,48.81,103.53,3.97,90,0,6.13,clear sky,0.0,0.0
Emerald,AU,2020-01-05 08:41:56,-23.53,148.16,95.0,24,40,12.75,scattered clouds,0.0,0.0
Buala,SB,2020-01-05 08:43:27,-8.15,159.59,82.22,80,100,11.18,moderate rain,3.25,0.0
Abu Samrah,SY,2020-01-05 08:43:27,35.3,37.18,49.33,76,44,5.75,scattered clouds,0.0,0.0
Puerto Colombia,CO,2020-01-05 08:43:27,10.99,-74.96,79.0,88,7,11.41,clear sky,0.0,0.0
Bauchi,NG,2020-01-05 08:43:27,10.31,9.85,70.39,29,0,7.38,clear sky,0.0,0.0
Uribia,CO,2020-01-05 08:43:27,11.71,-72.27,71.44,94,3,1.81,clear sky,0.0,0.0
Sao Gabriel Da Cachoeira,BR,2020-01-05 08:43:28,-0.13,-67.09,72.09,93,100,1.39,overcast clouds,0.0,0.0
Batouri,CM,2020-01-05 08:43:28,4.44,14.36,87.01,16,0,5.99,clear sky,0.0,0.0
Sinnamary,GF,2020-01-05 08:42:03,5.38,-52.96,78.98,81,100,14.7,light rain,0.5,0.0
Madang,CN,2020-01-05 08:43:28,35.32,102.79,26.56,66,100,3.85,overcast clouds,0.0,0.0
Novyy Urengoy,RU,2020-01-05 08:43:28,66.08,76.63,20.37,90,30,16.73,scattered clouds,0.0,0.0
Tuam,IE,2020-01-05 08:43:28,53.52,-8.85,52.0,100,90,11.41,light intensity drizzle,0.0,0.0
Mogadishu,SO,2020-01-05 08:43:29,2.04,45.34,86.0,62,20,17.22,few clouds,0.0,0.0
Pankrushikha,RU,2020-01-05 08:43:29,53.83,80.35,24.08,93,100,14.94,overcast clouds,0.0,0.0
Wadi Musa,JO,2020-01-05 08:43:29,30.32,35.48,44.44,58,7,10.02,clear sky,0.0,0.0
Pucara,BO,2020-01-05 08:43:29,-21.7,-64.2,62.94,81,100,1.9,overcast clouds,0.0,0.0
Ekibastuz,KZ,2020-01-05 08:43:29,51.72,75.32,24.15,85,100,13.15,overcast clouds,0.0,0.0
Ajaccio,FR,2020-01-05 08:43:30,41.93,8.74,50.0,81,0,8.05,clear sky,0.0,0.0
Urucara,BR,2020-01-05 08:43:30,-2.54,-57.76,72.57,85,70,0.27,broken clouds,0.0,0.0
Hanting,CN,2020-01-05 08:43:30,30.92,118.55,54.1,85,76,6.29,broken clouds,0.0,0.0
Marawi,PH,2020-01-05 08:43:30,8.0,124.29,84.0,82,23,3.0,few clouds,0.0,0.0
Vetrisoaia,RO,2020-01-05 08:43:30,46.43,28.21,34.84,76,100,17.72,light snow,0.0,0.25
Petrov Val,RU,2020-01-05 08:43:31,50.14,45.21,31.86,91,73,13.87,broken clouds,0.0,0.0
Ponta Delgada,PT,2020-01-05 08:43:31,37.73,-25.67,64.4,88,20,12.75,few clouds,0.0,0.0
Mount Gambier,AU,2020-01-05 08:43:31,-37.83,140.78,60.8,55,100,19.46,overcast clouds,0.0,0.0
Tshikapa,CD,2020-01-05 08:43:31,-6.42,20.79,81.07,71,100,3.2,overcast clouds,0.0,0.0
Krasnooktyabrskiy,RU,2020-01-05 08:43:31,44.93,38.37,46.99,57,1,4.47,clear sky,0.0,0.0
Calabazar De Sagua,CU,2020-01-05 08:43:32,22.65,-79.9,71.6,94,75,2.24,broken clouds,0.0,0.0
Centralia,US,2020-01-05 08:43:32,46.72,-122.96,44.6,87,90,9.17,overcast clouds,0.0,0.0
Caravelas,BR,2020-01-05 08:43:32,-17.73,-39.27,75.18,89,100,6.46,light rain,1.0,0.0
Saint-Gaudens,FR,2020-01-05 08:43:32,43.11,0.72,37.99,100,90,2.24,fog,0.0,0.0
Banjar,ID,2020-01-05 08:43:32,-7.37,108.54,79.39,87,99,3.33,moderate rain,8.63,0.0
Hede,SE,2020-01-05 08:43:32,60.45,15.49,28.0,79,100,6.93,overcast clouds,0.0,0.0
Mata,PT,2020-01-05 08:43:33,40.68,-7.46,39.0,95,0,5.01,clear sky,0.0,0.0
Hit,IQ,2020-01-05 08:43:33,33.64,42.83,58.28,47,24,7.76,few clouds,0.0,0.0
Hauterive,CA,2020-01-05 08:43:33,49.18,-68.27,25.0,79,20,6.93,few clouds,0.0,0.0
Hammond,US,2020-01-05 08:43:33,30.5,-90.46,46.99,93,1,1.61,clear sky,0.0,0.0
Ust-Nera,RU,2020-01-05 08:43:33,64.57,143.24,-20.18,100,5,0.58,clear sky,0.0,0.0
Ondjiva,AO,2020-01-05 08:43:34,-17.07,15.73,71.13,75,100,4.9,overcast clouds,0.0,0.0
Nawa,IN,2020-01-05 08:43:34,27.02,75.0,71.53,27,0,1.66,clear sky,0.0,0.0
Pisco,PE,2020-01-05 08:41:47,-13.71,-76.2,69.8,83,98,12.75,overcast clouds,0.0,0.0
Tigil,RU,2020-01-05 08:43:34,57.8,158.67,10.87,74,0,9.84,clear sky,0.0,0.0
Rutana,BI,2020-01-05 08:43:35,-3.93,29.99,73.51,70,100,4.25,light rain,1.19,0.0
Lavrentiya,RU,2020-01-05 08:43:35,65.58,-170.99,-7.47,84,100,10.16,overcast clouds,0.0,0.0
Patzun,GT,2020-01-05 08:43:35,14.68,-91.01,57.2,71,20,20.8,few clouds,0.0,0.0
High Level,CA,2020-01-05 08:43:35,58.52,-117.13,-20.2,82,1,2.24,clear sky,0.0,0.0
Anaco,VE,2020-01-05 08:39:48,9.43,-64.46,67.23,91,0,3.49,clear sky,0.0,0.0
San Vicente,EC,2020-01-05 08:43:36,-0.59,-80.41,77.0,83,90,10.29,overcast clouds,0.0,0.0
Kangaba,ML,2020-01-05 08:43:36,11.94,-8.41,65.68,14,94,7.99,overcast clouds,0.0,0.0
Le Vauclin,MQ,2020-01-05 08:43:36,14.55,-60.84,71.6,94,16,4.7,few clouds,0.0,0.0
Sfantu Gheorghe,RO,2020-01-05 08:43:36,44.65,26.83,37.99,93,100,1.12,snow,0.0,1.75
Voznesenye,RU,2020-01-05 08:43:36,61.02,35.48,30.83,88,98,13.35,light snow,0.0,0.38
Vanimo,PG,2020-01-05 08:43:37,-2.67,141.3,83.68,77,100,16.6,overcast clouds,0.0,0.0
Toamasina,MG,2020-01-05 08:43:37,-18.17,49.38,87.8,58,75,13.87,broken clouds,0.0,0.0
Saint-Francois,FR,2020-01-05 08:43:37,46.42,3.91,39.0,86,90,2.24,overcast clouds,0.0,0.0
Isla Mujeres,MX,2020-01-05 08:43:37,21.23,-86.73,71.6,83,90,9.17,overcast clouds,0.0,0.0
Ahipara,NZ,2020-01-05 08:43:37,-35.17,173.16,64.0,92,61,19.35,broken clouds,0.0,0.0
Dicabisagan,PH,2020-01-05 08:43:38,17.08,122.42,74.89,80,47,13.13,light rain,0.88,0.0
Maniitsoq,GL,2020-01-05 08:43:38,65.42,-52.9,18.39,81,100,19.17,light snow,0.0,0.25
Sondershausen,DE,2020-01-05 08:43:38,51.37,10.87,35.01,92,75,6.93,broken clouds,0.0,0.0
Fulton,US,2020-01-05 08:43:38,38.85,-91.95,34.0,74,1,9.17,clear sky,0.0,0.0
San Policarpo,PH,2020-01-05 08:43:38,12.18,125.51,80.11,84,13,23.33,light rain,2.56,0.0
Antofagasta,CL,2020-01-05 08:41:53,-23.65,-70.4,72.0,64,90,4.7,overcast clouds,0.0,0.0
Beidao,CN,2020-01-05 08:43:39,34.57,105.89,38.5,72,95,2.26,overcast clouds,0.0,0.0
Awbari,LY,2020-01-05 08:43:39,26.59,12.77,51.24,30,0,2.66,clear sky,0.0,0.0
Saint Anthony,US,2020-01-05 08:43:39,43.97,-111.68,21.2,92,75,4.25,broken clouds,0.0,0.0
Winnemucca,US,2020-01-05 08:42:09,40.97,-117.74,32.0,76,1,10.29,clear sky,0.0,0.0
El Alto,BO,2020-01-05 08:43:39,-16.5,-68.19,42.8,93,90,2.24,light rain,0.0,0.0
Kendari,ID,2020-01-05 08:43:40,-3.99,122.52,78.8,84,81,7.45,light rain,1.25,0.0
Mackay,CA,2020-01-05 08:40:52,53.65,-115.58,19.4,73,1,8.05,clear sky,0.0,0.0
Joaima,BR,2020-01-05 08:43:40,-16.65,-41.03,68.97,98,100,2.59,light rain,1.5,0.0
Terralba,IT,2020-01-05 08:43:40,39.72,8.64,51.8,81,77,5.82,broken clouds,0.0,0.0
Kondinskoye,RU,2020-01-05 08:43:40,59.65,67.41,22.84,93,98,11.43,overcast clouds,0.0,0.0
Byron Bay,AU,2020-01-05 08:41:05,-28.65,153.62,86.0,69,0,11.41,clear sky,0.0,0.0
Ubinskoye,RU,2020-01-05 08:43:41,55.31,79.68,26.92,91,99,14.43,light snow,0.0,0.31
Nuuk,GL,2020-01-05 08:42:28,64.17,-51.74,19.4,85,100,3.36,light snow,0.0,0.0
Muros,ES,2020-01-05 08:43:41,42.77,-9.06,46.99,100,0,5.82,fog,0.0,0.0
Tervel,BG,2020-01-05 08:43:41,43.43,26.76,33.51,92,100,9.35,light snow,0.0,0.31
